Gyro Roll;Gyro Pitch;Gyro Yaw;Accel X;Accel Y;Accel Z
-1.54E-03;0.012;0;-1.459;-1.721;-10.678
3.62E-03;6.63E-03;0;-2.35;0.796;-12.021
-0.021;0.029;0;-1.07;-0.477;-11.911
4.66E-03;-9.30E-03;0;-1.766;0.51;-9.361
-0.03;0.03;0;-0.76;-1.338;-9.301
-0.014;8.68E-03;0;-0.909;2.384;-8.405
0.022;0.032;0;-1.751;2.343;-10.357
-0.021;-0.03;0;-0.43;-0.518;-10.587
1.69E-03;-0.027;0;1.467;1.09;-9.502
0.033;0.02;0;2.439;-1.658;-10.803
-3.07E-03;7.89E-03;0;1.821;0.243;-10.888
-3.32E-04;4.28E-03;0;2.302;-1.888;-11.669
-0.021;0.028;0;-0.799;-0.771;-8.895
-8.71E-03;0.029;0;1.684;-0.019;-7.854
-0.021;-6.83E-03;0;-0.166;-1.626;-11.796
0.028;-0.017;0;-0.64;-0.102;-7.946
0.014;-0.021;0;1.332;-0.584;-8.973
0.016;0.019;0;-1.168;1.664;-9.862
0.026;5.78E-03;0;0.534;2.004;-10.453
-0.02;-5.06E-03;0;0.769;-1.41;-11.695
-4.90E-03;0.013;0;1.147;0.814;-11.065
0.018;4.84E-03;0;-1.524;-0.733;-7.65
0.035;0.035;0;0.611;-0.021;-7.983
-0.019;-0.01;0;-2.125;2.365;-7.69
0.021;0.028;0;0.498;1.399;-10.499
-1.78E-03;-0.024;0;-0.634;0.829;-11.339
0.027;-9.20E-03;0;0.65;-1.952;-12.138
-0.015;-0.012;0;1.486;2.104;-7.893
-1.14E-03;0.028;0;2.121;0.947;-8.189
5.94E-03;-0.016;0;2.204;0.539;-10.406
-0.011;0.012;0;-1.64;1.126;-9.523
5.95E-03;-8.65E-03;0;0.088;-0.831;-8.219
-3.42E-03;9.03E-03;0;-1.05;1.015;-10.8
-6.79E-03;-1.90E-03;0;8.15E-03;-2.199;-8.857
1.47E-03;1.08E-03;0;-1.989;2.15;-8.131
-0.011;-0.025;0;1.591;1.329;-10.78
0.022;4.61E-03;0;-1.109;1.918;-9.892
0.023;-0.021;0;-0.876;-1.135;-10.521
4.57E-03;-0.021;0;-2.348;1.596;-10.769
0.028;-0.017;0;-0.042;1.255;-10.686
0.029;0.024;0;-1.494;1.507;-12.127
-0.027;-0.016;0;-1.22;1.034;-7.353
-0.024;3.64E-03;0;2.159;-0.054;-10.723
0.02;-0.03;0;1.329;0.088;-9.887
7.67E-03;0.015;0;1.777;0.56;-10
-6.75E-03;0.023;0;1.279;-2.095;-9.2
4.95E-03;-0.021;0;-0.37;1.574;-9.651
-4.74E-03;0.012;0;-0.941;-0.839;-9.979
-0.022;-0.019;0;2.211;0.361;-8.442
-6.53E-03;0.016;0;-0.034;0.83;-9.26
-2.62E-03;0.019;0;2.082;1.21;-9.641
0.023;1.35E-03;0;-1.357;-1.676;-8.015
-1.91E-03;-1.11E-03;0;0.394;2.075;-11.172
0.019;0.029;0;-2.167;-0.307;-10.249
-5.20E-03;-0.026;0;1.409;1.045;-8.275
-3.87E-03;-0.03;0;1.17;0.883;-9.747
2.11E-03;-0.015;0;-0.681;-1.677;-10.05
-0.014;0.018;0;-0.908;2.394;-10.293
-6.24E-03;-0.021;0;-0.734;0.798;-11.112
-0.018;-0.028;0;-1.806;1.115;-7.408
-3.30E-03;0.025;0;1.511;0.198;-11.082
-0.026;-0.019;0;-2.267;-0.768;-11.062
-0.013;0.031;0;0.283;-0.801;-8.723
-9.38E-03;-0.014;0;2.063;2.425;-8.578
0.014;-4.31E-03;0;-1.657;-1.205;-10.555
0.015;0.015;0;1.549;1.192;-9.674
0.028;-0.014;0;2.285;2.082;-9.614
-0.022;-0.018;0;1.136;-1.152;-10.359
0.025;0.01;0;-0.392;0.637;-7.826
0.03;-8.22E-03;0;0.264;-1.687;-8.028
-7.61E-03;-0.015;0;-2.072;-1.367;-8.84
-1.25E-03;0.013;0;-1.485;1.623;-10.215
7.78E-03;0.022;0;2.412;2.428;-11.496
4.03E-03;-8.80E-03;0;-2.037;1.584;-10.723
0.025;-0.029;0;2.167;1.928;-7.71
-0.014;-0.01;0;-0.286;0.264;-10.194
-0.02;-0.015;0;0.309;1.241;-10.14
-0.023;0.03;0;-0.744;0.107;-11.554
0.015;0.029;0;-0.191;-0.056;-7.644
0.026;0.026;0;2.125;2.35;-9.735
-0.017;-0.023;0;-0.937;1.714;-8.524
-5.53E-03;0.013;0;2.044;1.796;-11.855
0.03;0.019;0;0.63;-0.294;-11.843
-8.46E-03;-3.41E-04;0;0.7;-1.792;-11.1
0.028;0.011;0;0.552;1.011;-9.152
0.02;-0.023;0;1.711;-1.05;-8.206
-0.026;-0.03;0;0.147;1.128;-10.737
-9.05E-03;0.01;0;0.262;-0.506;-8.571
2.24E-03;5.01E-03;0;-1.907;-0.385;-11.23
1.96E-03;0.024;0;1.918;-1.868;-11.978
1.13E-03;0.025;0;-0.125;1.503;-8.895
-0.011;-8.48E-03;0;0.753;-2.129;-9.503
-5.30E-03;-0.021;0;2.412;-0.493;-7.832
0.035;0.017;0;-1.638;-1.03;-9.389
0.028;0.023;0;0.555;1.788;-11.673
-0.022;0.019;0;-1.275;2.391;-10.307
-0.015;5.54E-03;0;2.116;-0.656;-10.103
9.70E-03;0.032;0;-2.016;-1.209;-11.101
-1.76E-03;0.024;0;1.979;0.286;-10.058
-0.028;-0.024;0;0.238;1.771;-9.085
0.023;-5.18E-03;0;-1.923;1.046;-11.976
0.026;0.033;0;1.525;-0.934;-8.673
-0.028;5.07E-03;0;-0.18;-2.276;-11.789
0.033;-0.031;0;1.914;0.578;-11.661
0.031;0.025;0;1.158;-1.038;-10.773
0.026;-0.025;0;2.308;-0.769;-10.932
-0.022;-0.024;0;-1.319;-0.656;-8.169
-0.013;-0.014;0;-2.175;-0.468;-11.771
0.034;-0.022;0;-1.908;-0.317;-11.578
-0.012;-4.72E-03;0;1.238;1.922;-11.245
0.02;-0.012;0;-1.893;-0.441;-11.195
0.024;0.026;0;-2.194;1.645;-7.9
0.012;-0.016;0;0.892;0.387;-10.581
0.011;-0.03;0;-0.427;0.795;-10.671
-0.018;0.03;0;-0.374;2.065;-11.96
-1.48E-05;4.27E-03;0;-0.506;0.937;-8.718
-0.018;-0.021;0;1.912;-2.161;-10.273
0.025;0.018;0;-1.693;-1.019;-10.471
8.22E-03;0.026;0;1.17;-1.508;-9.369
0.026;2.48E-03;0;0.624;1.794;-7.853
0.031;-1.60E-03;0;-1.989;-0.818;-8.793
-3.12E-03;-0.023;0;-0.652;0.502;-7.614
-1.44E-03;-0.02;0;-1.887;1.73;-8.201
0.014;0.02;0;-1.287;1.677;-9.757
-0.019;-0.022;0;2.108;0.892;-11.519
0.016;0.023;0;-1.102;-1.309;-7.724
-0.024;0.018;0;0.52;-0.654;-10.569
-0.014;0.012;0;2.157;-0.34;-10.487
0.011;-0.027;0;-1.155;-1.627;-12.006
0.02;-7.82E-03;0;1.844;0.053;-7.365
0.02;-0.011;0;-0.665;0.132;-10.376
-1.07E-03;0.02;0;-0.134;1.976;-10.347
0.031;4.16E-03;0;-1.805;2.158;-9.582
1.09E-04;-7.74E-03;0;-0.482;1.866;-8.183
0.029;0.024;0;1.664;0.738;-10.012
-0.024;-4.10E-03;0;6.33E-03;0.513;-10.303
0.025;-5.65E-03;0;-0.458;-1.764;-10.718
-0.027;0.035;0;2.116;0.425;-10.017
0.032;-0.016;0;0.555;2.174;-11.207
0.013;-0.018;0;-1.57;1.187;-11.398
8.47E-03;-2.27E-03;0;0.826;1.511;-9.366
-0.028;0.031;0;0.832;1.087;-11.814
-5.25E-04;-1.65E-04;0;-0.527;-0.718;-8.894
-0.011;-0.018;0;1.794;1.242;-7.562
0.018;-0.013;0;-0.121;0.501;-8.765
4.73E-05;9.19E-03;0;-0.921;1.275;-10.751
8.47E-03;-0.024;0;0.111;0.842;-12.105
-3.93E-03;-3.60E-03;0;-0.403;1.995;-10.265
-0.01;-1.64E-04;0;2.361;-0.016;-7.784
6.02E-03;0.024;0;2.257;-0.674;-9.164
0.034;-0.02;0;1.617;-1.39;-10.189
-4.99E-03;7.82E-03;0;0.52;-0.638;-8.88
-3.34E-03;-0.026;0;-2.138;-1.859;-9.507
0.02;0.027;0;-0.29;0.331;-10.056
0.035;-9.15E-03;0;1.63;0.645;-9.34
0.029;-3.10E-03;0;-1.551;0.203;-10.958
-0.022;0.012;0;0.292;-0.838;-8.782
-0.019;0.026;0;1.359;-0.262;-10.81
-0.011;8.91E-03;0;-0.884;-0.851;-9.628
-2.54E-04;-0.019;0;-1.997;2.033;-8.601
0.025;-1.03E-03;0;-1.265;-1.2;-11.618
-0.013;1.87E-03;0;-0.773;2.414;-9.517
0.033;-0.011;0;-0.998;-2.219;-9.073
-7.84E-03;0.013;0;-1.417;-1.447;-10.323
0.029;-0.014;0;1.453;0.583;-9.517
-0.028;-0.012;0;-1.937;0.243;-9.498
0.017;-3.49E-03;0;-0.605;2.332;-10.728
-0.03;3.23E-03;0;-0.532;1.419;-8.627
0.016;-0.013;0;-0.043;0.164;-9.687
0.011;-0.029;0;-0.294;-0.4;-7.611
0.02;-6.67E-03;0;-0.183;-1.233;-8.722
0.019;0.033;0;1.896;1.315;-8.259
-0.025;0.017;0;2.192;0.331;-10.574
-0.025;0.017;0;-1.145;-2.258;-9.588
0.03;-0.023;0;1.644;0.382;-10.968
0.024;0.028;0;-1.472;-1.874;-9.407
-0.017;3.14E-03;0;0.219;-1.032;-9.243
0.021;0.024;0;-0.125;-0.531;-9.925
0.035;0.014;0;0.723;0.609;-11.986
0.027;-9.59E-03;0;-1.629;-0.73;-8.316
0.014;3.29E-03;0;2.191;-1.952;-11.759
0.032;0.032;0;1.761;1.93;-8.427
0.022;0.033;0;1.025;-0.255;-12.005
0.025;-0.013;0;0.616;0.6;-10.533
-0.024;-0.026;0;-1.16;0.013;-8.124
0.022;0.024;0;-0.686;0.464;-10.524
-7.91E-03;-0.026;0;1.254;-0.184;-10.218
-0.025;0.028;0;-0.873;-2.051;-8.683
-0.026;0.034;0;-0.945;1.141;-7.892
0.025;0.023;0;0.555;1.05;-11.37
-2.87E-03;0.025;0;-2.314;1.262;-10.662
-0.028;-0.02;0;-1.653;0.488;-11.343
-3.47E-03;0.018;0;-0.026;1.143;-11.5
0.018;3.35E-03;0;-2.142;0.907;-11.781
0.012;0.03;0;-1.583;1.41;-11.868
-0.018;0.02;0;2.163;-2.199;-7.597
0.03;-0.015;0;2.134;0.143;-8.635
-4.27E-03;-0.024;0;-1.421;-0.253;-8.345
0.022;-0.026;0;0.966;-0.431;-9.14
-7.83E-03;1.49E-03;0;-0.236;0.883;-11.526
-5.17E-03;0.03;0;2.395;2.259;-8.442
5.64E-03;0.017;0;-0.199;-1.603;-10.561
8.61E-03;-0.03;0;0.514;-0.896;-9.435
-4.37E-03;0.029;0;1.378;-1.596;-8.748
-0.028;-0.026;0;-1.725;1.768;-10.255
8.93E-03;-1.07E-03;0;-1.474;-0.761;-8.109
0.023;-3.34E-03;0;-0.047;1.722;-10.814
-3.19E-03;-3.11E-04;0;-1.107;1.303;-11.717
-6.70E-03;0.016;0;-1.101;-0.092;-10.974
0.032;5.90E-03;0;-1.126;-1.177;-8.429
0.018;1.45E-03;0;-2.302;-1.272;-8.909
-0.024;0.034;0;0.389;-2.139;-7.462
-0.013;0.019;0;-0.71;-0.541;-10.642
8.80E-03;-0.021;0;1.841;1.524;-9.997
-0.025;0.023;0;1.339;-2.244;-11.221
9.17E-03;-1.40E-03;0;-0.825;1.893;-9.291
0.011;8.60E-03;0;-0.268;1.108;-11.413
-0.015;-0.015;0;1.681;1.342;-7.45
-0.014;0.01;0;-0.17;-1.594;-11.145
0.022;-0.013;0;2.313;1.814;-10.529
-0.01;0.035;0;-1.912;1.638;-9.91
0.011;-0.024;0;-1.496;-0.838;-9.337
0.028;-6.90E-03;0;-0.024;-1.46;-8.271
0.021;0.025;0;-1.552;-1.981;-8.584
-8.52E-03;-3.42E-03;0;-1.655;-1.292;-11.814
-0.011;-0.028;0;-1.745;-2.222;-10.789
0.03;0.019;0;2.227;2.373;-7.654
0.033;4.26E-03;0;-0.445;-1.19;-7.961
0.015;0.017;0;1.732;2.256;-11.002
0.025;8.80E-03;0;0.08;-1.285;-7.664
0.03;-0.023;0;2.312;1.526;-7.66
-0.013;0.034;0;-2.045;-1.104;-11.874
-0.011;-0.017;0;-0.364;-0.37;-10.146
-8.53E-03;-0.028;0;-0.088;0.865;-8.884
0.028;-0.021;0;-0.517;1.147;-10.052
0.032;0.026;0;2.05;-1.848;-12.048
4.13E-03;-0.026;0;1.985;-0.574;-10.67
-0.013;-0.011;0;0.664;0.912;-8.511
-0.01;-0.029;0;1.753;-0.238;-9.044
0.01;0.032;0;1.751;-1.856;-10.369
0.032;-0.022;0;0.115;0.234;-10.511
0.024;-0.021;0;0.197;0.38;-8.9
0.014;0.028;0;-0.711;-0.229;-7.391
0.021;8.48E-03;0;-1.796;0.46;-9.891
2.76E-03;-0.021;0;-1.245;-0.375;-9.698
5.73E-03;-0.03;0;0.31;0.052;-8.399
-5.28E-03;0.019;0;2.099;0.521;-11.452
8.31E-03;4.52E-03;0;1.671;2.031;-8.845
-0.021;-0.014;0;1.731;0.141;-9.319
-6.43E-03;0.026;0;-1.686;1.003;-11.285
0.031;0.017;0;-2.201;-2.016;-10.027
-0.022;-0.021;0;2.364;1.875;-12.074
0.015;0.035;0;-0.514;-2.136;-8.687
0.033;0.013;0;-0.373;-2.178;-11.857
8.96E-03;8.67E-03;0;-2.285;0.664;-9.077
0.033;-0.029;0;0.774;0.026;-11.824
-0.022;3.38E-03;0;1.653;1.624;-10.315
8.25E-03;-0.019;0;-1.47;-2.327;-10.378
-5.66E-03;0.031;0;-1.746;-0.769;-11.763
-0.023;0.031;0;1.34;-1.735;-9.997
-4.56E-03;-5.43E-03;0;-0.666;1.129;-8.665
-0.018;-0.025;0;-0.823;-2.11;-7.988
-4.27E-03;-8.68E-03;0;1.77;0.458;-11.106
-2.85E-03;-0.021;0;-1.686;-2.148;-9.754
-9.71E-03;4.86E-03;0;1.284;-0.599;-10.754
0.034;3.05E-03;0;-0.045;-0.969;-9.426
0.012;-0.013;0;0.769;0.455;-9.68
-0.016;-0.019;0;1.874;-0.951;-10.13
-0.023;0.021;0;-0.208;-1.069;-11.68
-0.013;0.032;0;-1.126;0.499;-9.528
-0.024;-0.023;0;2.376;-1.826;-8.671
-6.15E-04;0.028;0;-1.245;-2.347;-8.453
-0.017;5.28E-03;0;0.854;-0.74;-11.62
0.022;2.19E-03;0;0.754;-2.028;-11.573
-0.018;0.018;0;1.731;1.1;-9.543
-0.021;0.028;0;1.197;-2.254;-10.579
-6.79E-03;-0.022;0;-1.526;1.164;-11.791
-6.01E-03;8.00E-03;0;2.191;1.861;-10.179
0.018;-9.48E-03;0;0.441;-0.908;-9.102
-0.017;-2.07E-03;0;1.56;2.205;-10.481
-0.012;-0.017;0;-1.181;-1.773;-8.611
0.03;0.03;0;2.347;-0.113;-10.847
-0.022;8.02E-03;0;-1.994;-2.286;-11.981
0.015;0.01;0;0.85;0.225;-11.298
3.54E-03;0.022;0;-1.869;-0.951;-10.091
0.022;0.032;0;1.136;-1.63;-9.25
-0.031;-3.61E-04;0;-0.545;0.488;-7.679
-8.05E-03;0.034;0;0.585;-0.111;-10.933
0.023;5.64E-03;0;0.873;-1.61;-11.969
0.017;7.03E-03;0;-0.801;-1.972;-11.987
-0.021;-0.028;0;0.761;-2.239;-8.281
0.01;-2.60E-03;0;1.276;0.064;-9.884
0.019;-2.60E-03;0;1.242;-1.821;-10.497
0.02;-5.69E-03;0;-0.31;0.417;-7.451
-0.029;-0.03;0;0.083;0.638;-7.469
0.033;0.011;0;-2.1;-2.259;-7.656
0.025;0.021;0;0.119;1.49;-8.621
0.034;-0.024;0;2.25;1.749;-11.82
-7.80E-03;-9.19E-03;0;1.209;-0.203;-9.832
7.41E-03;0.016;0;1.216;1.985;-11.794
0.029;0.021;0;-0.202;-1.305;-10.739
-0.011;7.72E-03;0;-1.221;-1.861;-7.487
-8.70E-03;-7.21E-03;0;-0.439;-1.776;-10.306
-6.08E-04;-0.011;0;-1.615;1.624;-11.462
0.031;-0.017;0;0.506;-1.297;-10.855
0.018;0.033;0;-0.139;2.254;-9.472
-0.022;-3.78E-03;0;-1.146;-2.327;-10.268
0.029;-0.025;0;1.922;2.027;-11.714
-0.012;0.013;0;-1.263;-0.513;-7.768
-0.022;-2.46E-03;0;0.489;-0.719;-9.861
0.015;6.97E-03;0;0.713;1.347;-7.785
-7.87E-03;5.65E-03;0;-0.491;1.206;-8.274
-0.02;-0.025;0;1.803;-1.112;-8.848
-0.023;-0.019;0;0.478;0.841;-11.776
-0.026;0.033;0;0.892;-0.836;-10.106
5.71E-03;-0.012;0;1.742;1.361;-8.586
0.011;0.02;0;0.924;2.404;-7.972
6.54E-03;0.027;0;-2.161;-0.253;-8.661
0.035;-6.13E-03;0;1.734;-1.922;-10.697
-0.016;9.28E-04;0;0.35;-1.8;-7.798
0.029;4.29E-03;0;-0.999;-0.863;-9.726
-0.01;-9.02E-03;0;-1.625;-1.314;-9.841
0.025;-0.016;0;2.377;1.332;-7.732
0.032;0.035;0;0.328;0.891;-11.011
0.034;5.80E-03;0;1.737;2.036;-8.545
-8.05E-03;0.021;0;-1.77;2.229;-11.393
-0.026;0.033;0;0.395;-0.874;-11.179
6.28E-03;9.01E-03;0;0.987;0.957;-10.47
0.019;-8.93E-03;0;0.94;-1.4;-9.315
-8.47E-03;-8.11E-03;0;1.903;1.048;-8.49
0.033;0.024;0;0.042;-0.46;-9.614
0.026;0.02;0;-1.96;0.643;-9.01
-1.60E-03;-0.021;0;-1.911;-0.464;-7.707
4.17E-03;0.029;0;-1.206;1.185;-10.737
0.015;0.03;0;-1.746;-1.222;-12.156
0.012;0.017;0;1.907;-0.169;-8.063
-5.42E-03;0.028;0;0.863;-2.121;-11.981
-0.03;-2.99E-03;0;-0.764;2.251;-7.639
0.025;0.018;0;1.317;1.273;-11.678
-0.012;0.028;0;0.145;-0.828;-8.273
-0.017;-0.019;0;2.241;2.021;-10.106
-6.29E-03;9.10E-03;0;0.226;1.466;-9.184
-0.011;-0.028;0;0.05;-1.662;-8.713
-2.71E-03;0.021;0;-1.412;0.224;-8.319
-1.45E-03;-0.029;0;-0.143;-1.565;-11.993
0.019;0.028;0;1.033;-0.503;-7.7
2.23E-03;-0.025;0;-0.312;1.498;-9.52
-9.52E-03;-0.017;0;1.799;-2.236;-11.535
-6.44E-03;0.015;0;-2.06;-2.07;-8.198
-0.018;0.027;0;1.37;-1.512;-10.025
-0.031;-0.014;0;-1.319;0.71;-7.925
-6.84E-03;0.023;0;0.134;-2.047;-11.516
-4.31E-03;0.033;0;1.435;1.979;-8.552
1.38E-03;-0.026;0;1.382;1.888;-10.183
5.08E-03;-0.027;0;-1.866;1.297;-8.624
-0.027;-0.025;0;1.868;-0.164;-9.558
0.018;0.033;0;2.313;-0.306;-11.683
-0.014;-0.023;0;-1.381;1.666;-8.333
-6.55E-03;5.16E-04;0;-1.358;0.194;-10.228
-7.63E-03;0.016;0;-0.171;-2.122;-11.07
-1.99E-03;-0.026;0;1.332;0.261;-11.194
5.31E-03;-0.017;0;1.236;0.975;-8.684
-0.031;0.019;0;-1.089;-2.353;-10.539
-4.95E-03;-0.016;0;2.324;0.722;-10.577
0.023;-1.03E-04;0;-2.04;-0.134;-9.653
0.013;-0.026;0;-0.265;0.163;-10.798
-8.44E-03;6.82E-04;0;1.002;1.103;-10.023
6.55E-03;-0.02;0;-1.429;-1.125;-8.555
-0.01;0.025;0;1.316;-1.494;-11.552
1.91E-03;-0.015;0;-1.807;-0.995;-8.713
-0.018;-0.025;0;-1.858;2.051;-8.674
0.035;3.57E-03;0;-1.967;1.492;-12.058
9.98E-03;0.013;0;-0.34;-0.635;-9.651
-0.02;0.014;0;-0.783;0.745;-7.481
-0.024;0.021;0;-2.008;-2.058;-10.693
-8.24E-03;5.48E-03;0;-0.538;-1.951;-9.497
-0.014;0.014;0;-1.02;0.387;-7.989
-0.029;0.021;0;0.323;-1.298;-9.068
0.011;0.014;0;-0.358;1.478;-8.128
-0.025;-0.03;0;0.187;-1.263;-10.915
4.75E-03;0.029;0;0.889;2.067;-9.426
-0.023;0.028;0;1.729;-1.661;-10.871
0.032;4.01E-03;0;1.254;-1.163;-10.79
-0.027;0.019;0;2.407;-0.259;-9.555
0.024;0.028;0;1.557;-2.184;-11.01
0.027;0.032;0;1.526;-2.138;-12.047
0.027;0.012;0;-0.107;1.027;-11.867
-3.57E-03;0.015;0;2.056;-1.608;-8.913
-0.014;-6.84E-03;0;2.057;-0.217;-11.957
-9.51E-03;0.015;0;2.274;-0.53;-8.42
-0.019;-8.80E-03;0;-2.032;0.903;-9.433
-0.031;-0.024;0;-1.303;0.511;-9.542
0.021;-3.64E-03;0;1.287;-0.821;-10.21
9.16E-03;-0.017;0;0.162;-1.634;-9.632
-3.63E-03;7.19E-03;0;1.863;-0.709;-11.715
-0.029;-4.73E-03;0;2.419;0.709;-8.467
9.59E-03;0.022;0;0.303;0.503;-11.63
0.027;0.022;0;0.016;2.424;-11.211
0.032;-0.018;0;-1.671;-0.745;-11.728
-0.016;-0.019;0;-0.742;-1.854;-11.221
0.035;0.024;0;-1.149;-0.102;-8.525
6.63E-03;-0.011;0;-1.549;0.769;-8.121
4.31E-03;-8.79E-03;0;-0.013;2.176;-8.177
-0.015;0.015;0;0.161;-0.338;-8.432
-2.19E-03;4.22E-03;0;-1.502;-1.052;-9.267
-0.026;0.015;0;-2.324;1.464;-11.295
-0.022;-8.66E-03;0;1.291;0.825;-10.13
2.35E-03;0.018;0;0.396;0.68;-8.288
-0.015;-0.019;0;-2.039;1.056;-8.413
0.018;-0.023;0;1.869;-1.104;-9.504
-0.018;0.034;0;-1.208;-1.733;-11.048
-1.76E-03;0.02;0;-1.526;1.567;-9.514
2.74E-04;-0.014;0;-0.155;8.37E-03;-7.911
-0.012;-6.40E-03;0;0.933;0.643;-11.135
-0.014;-0.024;0;-1.222;-0.266;-9.085
-0.026;8.20E-03;0;2.427;1.751;-11.01
-0.018;0.021;0;-0.043;-0.817;-7.647
8.71E-03;5.28E-03;0;-0.678;-1.534;-12.061
0.031;0.01;0;-2.122;1.489;-11.163
0.035;-0.014;0;-0.546;0.455;-10.062
-0.015;0.032;0;-2.343;-1.086;-8.625
0.025;-0.011;0;-1.405;-1.216;-9.786
-9.57E-03;0.025;0;-0.884;0.72;-11.207
0.012;-1.96E-03;0;-0.54;-0.768;-8.373
-0.018;-0.016;0;-1.609;0.075;-9.529
-0.03;-9.42E-03;0;1.001;2.074;-10.967
0.015;-0.012;0;0.926;2.434;-9.846
-0.023;-0.022;0;-1.311;1.498;-11.477
0.028;0.018;0;-1.201;-0.141;-11.094
0.025;-0.014;0;0.452;-1.504;-8.304
0.014;0.018;0;2.395;-0.692;-8.268
0.639;0.02;0;-1.973;-0.627;-11.938
0.639;-0.022;0;-2.336;-1.163;-9.07
0.633;0.034;0;-0.677;-1.223;-8.499
0.674;0.023;0;0.682;1.156;-9.892
0.677;0.012;0;-0.919;0.861;-9.19
0.633;0.019;0;-0.955;0.598;-9.406
0.635;-0.016;0;-1.777;0.31;-10.335
0.687;0.019;0;-0.128;-0.07;-10.624
0.677;0.02;0;2.057;1.521;-8.364
0.658;-0.021;0;-2.006;-1.488;-7.997
0.628;0.013;0;1.981;-2.591;-9.819
0.65;0.017;0;2.387;-2.529;-11.348
0.65;-0.025;0;0.631;0.304;-7.682
0.617;-0.028;0;1.71;-2.317;-11.882
0.624;-0.015;0;-1.401;-1.43;-8.299
0.671;-3.39E-03;0;2.21;-2.363;-9.376
0.66;-0.025;0;-2.143;-1.319;-8.096
0.612;0.014;0;-0.369;0.641;-10.571
0.628;-0.03;0;-2.308;-2.478;-9.185
